room_id,scrape_id,host_id,property_type,room_type,country,market,neighbourhood,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,accommodates,bathrooms,bedrooms,beds,bed_type,price_Yen,price_USD,minimum_nights,maximum_nights,name,host_name,host_since,latitude,longitude,host_location,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1574946,2.02E+13,8142772,Apartment,Shared room,Japan,Tokyo,Shinjuku Ku,141,1.73,13,270,9,1,1,0,Real Bed,3977,37.59689922,2,1125,Shinjuku ShareHouse Dormitory6  with Balcony,Min & Haru,8/13/2013,35.69848,139.70433,JP,96,10,10,10,10,10,10
1600454,2.02E+13,8529477,House,Private room,Japan,Tokyo,Setagaya Ku,42,0.52,2,0,1,1,1,1,Couch,3332,31.49933825,2,7,"cute room, safty residential area in west-Tokyo",Mari ,8/30/2013,35.65918,139.61021,"Tokyo, Japan",96,10,10,10,10,9,10
1600758,2.02E+13,8529477,House,Private room,Japan,Tokyo,Setagaya Ku,13,0.57,2,46,1,1.5,1,1,Real Bed,3558,33.63584799,2,7,Enjoy a unique house in a green residential area!,Mari ,8/30/2013,35.6591,139.61036,"Tokyo, Japan",100,10,10,10,10,9,10
1642592,2.02E+13,4847803,Apartment,Entire home/apt,Japan,Tokyo,Shibuya Ku,84,1.12,11,307,6,1,2,3,Real Bed,12900,121.9512195,3,1125,3F Apartment in Yoyogi/Shibuya Max 6Px w/Free WiFi,Best Stay In Tokyo!,1/25/2013,35.68136,139.6931,"Tokyo, Japan",99,10,10,10,10,10,10
1732795,2.02E+13,6606987,House,Entire home/apt,Japan,Tokyo,Katsushika Ku,304,3.78,3,0,5,2,2,4,Real Bed,13007,122.9627529,3,30,"Mr.T's House, 2-Bed-rooms JP-style+Portable Wi-Fi",K & N,5/27/2013,35.73963,139.85372,"Katsushika, Tokyo, Japan",98,10,10,10,10,9,10
1754294,2.02E+13,6018145,House,Private room,Japan,Tokyo,Shinjuku Ku,245,3.04,3,364,3,1,1,2,Real Bed,8600,81.30081301,1,1124,Home stay with a Japanese language teacher family,Mari,4/21/2013,35.69279,139.70929,"Shinjuku, Tokyo, Japan",98,10,10,10,10,10,10
1788937,2.02E+13,9365325,Apartment,Entire home/apt,Japan,Tokyo,Mitaka Shi,37,3.26,1,0,9,1,3,2,Real Bed,13975,132.1138211,2,27,"3BD 55sqm  2MIN WALK Mitaka sta , 17MIN Shinjuku",Takayuki,10/11/2013,35.70171,139.55988,"Mitaka, Tokyo, Japan",98,10,9,10,10,10,10
1868030,2.02E+13,8660693,Apartment,Private room,Japan,Tokyo,Koto Ku,114,1.62,9,169,1,1,1,1,Real Bed,3332,31.49933825,30,1125,30sec Sta.nearSUMO AKB Shinjuku AB,Soichi,9/5/2013,35.69031,139.81424,"Koto City, TÅkyÅ-to, Japan",88,9,8,10,9,9,9
1919541,2.02E+13,9951050,House,Private room,Japan,Tokyo,Shinagawa Ku,227,2.85,1,92,2,1,1,1,Airbed,7955,75.20325203,2,2,share house 'Miraie' @JR Osaki,Takashi&Li,11/11/2013,35.61626,139.72338,"Shinagawa City, Tokyo, Japan",98,10,10,10,10,10,10
1997959,2.02E+13,10294366,Condominium,Entire home/apt,Japan,Tokyo,Setagaya Ku,105,1.39,1,189,16,2,3,15,Real Bed,15050,142.2764228,2,180,Stylish Apartment in Tokyo with Rooftop & Blue Sky,Ryusuke,11/27/2013,35.63797,139.64716,3-25-21-302 Tsurumaki,98,10,10,10,10,9,10
2027932,2.02E+13,10415965,House,Entire home/apt,Japan,Tokyo,Minato Ku,169,2.15,3,183,14,2.5,4,9,Real Bed,69545,657.4494233,3,365,"Roppongi Villa,7min/ROPPONGIstatn.",Azabu,12/3/2013,35.65628,139.72586,"Tokyo, Japan",95,10,10,10,10,10,9
2075509,2.02E+13,11046932,House,Entire home/apt,Japan,Tokyo,Minato Ku,240,3.1,1,348,9,2.5,4,9,Real Bed,79980,756.097561,3,1125,Stunning home in central Tokyo,The Dawson Family,1/5/2014,35.65008,139.73337,"Minato City, Tokyo, Japan",98,10,10,10,10,10,10
2098806,2.02E+13,10705201,Apartment,Entire home/apt,Japan,Tokyo,Shibuya Ku,233,3.04,3,0,5,1,2,3,Real Bed,15526,146.7763282,30,365,New Red Apart in Shimokitazawa!!,D'S Airbnb,12/19/2013,35.68523,139.69758,Tokyo Japan,99,10,9,10,10,10,10
2129583,2.02E+13,9203725,Apartment,Entire home/apt,Japan,Tokyo,Suginami Ku,8,0.12,5,355,5,1,1,3,Real Bed,10965,103.6585366,1,1125,"Blissful Retreat near Shinjuk, Koenji, Shimokita!",Memz And Taki,10/3/2013,35.67273,139.65974,ã€€,98,10,10,10,10,9,9
2219300,2.02E+13,9203725,Apartment,Entire home/apt,Japan,Tokyo,Suginami Ku,16,0.25,5,351,4,1,1,3,Real Bed,16447,155.4830781,1,1125,*C*Tranquil Studio with Loft&WIFI near Shinjuku !,Memz And Taki,10/3/2013,35.67273,139.65974,ã€€,100,10,10,10,10,10,10
2238472,2.02E+13,11430874,House,Private room,Japan,Tokyo,Shibuya Ku,157,2.08,1,302,4,2,1,0,Real Bed,26982,255.076574,1,30,Spacious! Shibuya House w/Garden,Kako & Keiko,1/19/2014,35.67069,139.68388,"Shibuya, Tokyo, Japan",99,10,10,10,10,10,10
2262879,2.02E+13,8660693,Apartment,Private room,Japan,Tokyo,Koto Ku,42,0.74,9,90,2,0.5,1,1,Real Bed,3450,32.61486103,30,1125,30sec Sta. AKB Shinjuku Shibuya 206,Soichi,9/5/2013,35.689,139.81543,"Koto City, TÅkyÅ-to, Japan",87,9,8,9,9,10,9
2289698,2.02E+13,4799233,Apartment,Entire home/apt,Japan,Tokyo,Shinjuku Ku,73,0.95,2,176,2,1,1,0,Real Bed,3977,37.59689922,30,365,BEST for 2ppl@Shinjuku Takadanobaba,Yu,1/22/2013,35.70803,139.69822,"Shinjuku, Tokyo, Japan",88,9,8,9,9,9,9
2491507,2.02E+13,8142772,Apartment,Private room,Japan,Tokyo,Shinjuku Ku,82,1.09,13,270,3,1,1,0,Real Bed,6020,56.91056911,2,1125,Shinjuku Sharehouse Private Tatami Room III 8F,Min & Haru,8/13/2013,35.69847,139.70433,JP,95,9,10,10,10,10,10
2602722,2.02E+13,8142772,Apartment,Shared room,Japan,Tokyo,Shinjuku Ku,158,2.1,13,270,9,1,1,9,Real Bed,3977,37.59689922,2,1125,Shinjuku ShareHouse Dormitory2  with Balcony,Min & Haru,8/13/2013,35.69848,139.70433,JP,96,10,10,10,10,10,10
2602791,2.02E+13,8142772,Apartment,Shared room,Japan,Tokyo,Shinjuku Ku,71,0.95,13,270,9,1,1,9,Real Bed,3977,37.59689922,2,1125,Shinjuku ShareHouse Dormitory1  with Balcony,Min & Haru,8/13/2013,35.69848,139.70435,JP,94,10,10,10,10,10,9
2642449,2.02E+13,8660693,Apartment,Private room,Japan,Tokyo,Koto Ku,73,1.04,9,90,3,0.5,1,3,Real Bed,2480,23.44488561,30,1124,S206 30sec Sta. AKB Shinjuku Shibuya,Soichi,9/5/2013,35.69091,139.81427,"Koto City, TÅkyÅ-to, Japan",90,9,8,9,9,9,9
2645379,2.02E+13,8142772,Apartment,Shared room,Japan,Tokyo,Shinjuku Ku,73,0.98,13,270,9,1,1,0,Real Bed,3977,37.59689922,2,1125,Shinjuku ShareHouse Dormitory4  with Balcony,Min & Haru,8/13/2013,35.69848,139.70433,JP,95,10,10,10,10,10,10
2645582,2.02E+13,13521173,Apartment,Entire home/apt,Japan,Tokyo,Shinjuku Ku,199,3.57,2,128,2,1,1,2,Real Bed,9352,88.40990735,2,1125,New Studio - 5 min to Shinjuku (1),Alba & Cupidon,3/25/2014,35.68892,139.70391,"Tokyo, Japan",96,10,10,10,10,10,10
2661155,2.02E+13,8660693,Apartment,Private room,Japan,Tokyo,Koto Ku,90,1.2,9,225,3,0.5,1,3,Real Bed,3235,30.58234071,30,1111,30sec Sta.nearSUMO AKB Shinjuku,Soichi,9/5/2013,35.69067,139.8154,"Koto City, TÅkyÅ-to, Japan",87,9,9,9,9,10,9
2803972,2.02E+13,13465066,Guest suite,Entire home/apt,Japan,Tokyo,Akishima Shi,28,0.41,2,84,2,1,1,1,Pull-out Sofa,3870,36.58536585,3,120,11mins to Fussa station by train and 6mins walk!,Tomoyuki&Maki,3/23/2014,35.70477,139.37874,"Akishima, Tokyo, Japan",95,10,9,10,10,9,10
2839061,2.02E+13,4839990,House,Private room,Japan,Tokyo,Bunkyo Ku,75,1.25,1,58,2,2,1,1,Real Bed,5482,51.8245415,4,90,Work desk/Central TKO/Discover local life&culture,Toshiyuki,1/25/2013,35.72175,139.76309,"Bunkyo City, Tokyo, Japan",97,10,10,10,10,10,10
2867835,2.02E+13,9360394,Apartment,Entire home/apt,Japan,Tokyo,Adachi Ku,6,0.1,4,0,5,1,1,3,Real Bed,12792,120.9302326,7,365,Lively town flat for family stay,Vann Amor,10/11/2013,35.79273,139.79121,"Tokyo, Japan",83,9,9,9,10,9,9
2883497,2.02E+13,6969809,Hut,Entire home/apt,Japan,Tokyo,Taito Ku,253,3.49,2,320,6,1,2,6,Futon,19027,179.873322,1,90,æ±äº¬ä¸‹ç”ºç”Ÿæ´»,Kota,6/17/2013,35.72229,139.77859,Tokyo,95,10,10,10,10,10,9
2883753,2.02E+13,9360394,Apartment,Entire home/apt,Japan,Tokyo,Adachi Ku,3,0.16,4,0,5,1,1,3,Real Bed,12792,120.9302326,7,1125,Modern Tatami dining with comfy bed,Vann Amor,10/11/2013,35.79298,139.79201,"Tokyo, Japan",87,9,9,10,9,7,9
2883869,2.02E+13,9360394,Apartment,Entire home/apt,Japan,Tokyo,Adachi Ku,4,0.06,4,0,2,1,1,1,Real Bed,6469,61.15522783,7,1125,Comfy Studio with Lovely balcony,Vann Amor,10/11/2013,35.79302,139.79263,"Tokyo, Japan",90,10,10,10,9,9,9
3021731,2.02E+13,15397951,House,Private room,Japan,Tokyo,Toshima Ku,111,1.58,3,295,2,1,1,2,Real Bed,5482,51.8245415,50,1125,Cozy room in the City,Kay,5/11/2014,35.72276,139.69074,"Shinjuku, Tokyo, Japan",92,10,9,10,9,9,9
3085134,2.02E+13,10415965,House,Entire home/apt,Japan,Tokyo,Shibuya Ku,117,1.62,3,302,6,1.5,2,4,Real Bed,26015,245.9349593,3,365,"""HirooHouse"",3Rm, 6 guests, 2minWalk/HIROO Stn.",Azabu,12/3/2013,35.65117,139.72026,"Tokyo, Japan",95,10,9,10,10,10,9
3097514,2.02E+13,15751854,House,Private room,Japan,Tokyo,Meguro Ku,50,0.7,3,0,2,1.5,1,2,Real Bed,5391,50.96426546,35,365,Nakameguro: Hideaway in Cul de Sac,Ziggie,5/20/2014,35.6411,139.68963,"Meguro, Tokyo, Japan",91,9,9,10,9,9,9
3126831,2.02E+13,8660693,Apartment,Private room,Japan,Tokyo,Sumida Ku,41,0.61,9,0,2,1,1,1,Real Bed,2472,23.36925695,30,1125,S203 30sec Sta.nearSUMO AKB Shinjuku2,Soichi,9/5/2013,35.69061,139.8049,"Koto City, TÅkyÅ-to, Japan",88,9,8,9,9,9,9
3177109,2.02E+13,16110809,Apartment,Entire home/apt,Japan,Tokyo,Shinjuku Ku,114,1.64,1,1,2,1,1,1,Real Bed,10566,99.88655701,30,360,"Couple's Retreat, Mid-century Modern Oasis",Colleen,5/28/2014,35.68821,139.71921,"Shinjuku, Tokyo, Japan",99,10,10,10,10,10,10
3235958,2.02E+13,16241464,Apartment,Entire home/apt,Japan,Tokyo,Itabashi Ku,85,1.24,2,0,2,1,1,0,Real Bed,5499,51.98525241,1,90,Experience normal Japan life 1,Kaori,6/1/2014,35.78077,139.63209,"Itabashi, Tokyo, Japan",95,10,9,10,10,9,10
3265059,2.02E+13,6606987,House,Private room,Japan,Tokyo,Katsushika Ku,319,4.4,3,13,2,2,1,2,Real Bed,5482,51.8245415,4,30,Factory Roof-Top! +Portable Wi-Fi,K & N,5/27/2013,35.73937,139.85173,"Katsushika, Tokyo, Japan",98,10,10,10,10,9,10
3339222,2.02E+13,16241464,Apartment,Entire home/apt,Japan,Tokyo,Itabashi Ku,49,0.86,2,275,2,1.5,1,0,Real Bed,5052,47.75950085,1,90,Experience normal Japan life 2,Kaori,6/1/2014,35.78116,139.63145,"Itabashi, Tokyo, Japan",92,10,9,10,10,9,9
3364169,2.02E+13,16973429,Apartment,Entire home/apt,Japan,Tokyo,Taito Ku,125,1.77,2,283,4,1,1,4,Real Bed,7955,75.20325203,5,1125,"PIC UP SRVC PROVIDED, 1 MINU TO GROCERY STORE",Hirano San,6/18/2014,35.7223,139.80049,"Taito, Tokyo, Japan",94,10,9,10,10,9,10
3366913,2.02E+13,15397951,House,Private room,Japan,Tokyo,Shinjuku Ku,100,1.39,3,293,2,1,1,1,Real Bed,4515,42.68292683,50,1125,Beautiful and peaceful residence,Kay,5/11/2014,35.72147,139.69075,"Shinjuku, Tokyo, Japan",88,9,9,9,9,9,9
3372902,2.02E+13,17018818,Apartment,Entire home/apt,Japan,Tokyo,Meguro Ku,132,1.86,1,322,2,1,1,2,Real Bed,6772,64.01966345,2,1125,ï½±ï½¼ï¾žï½±ï¾ï¾ï½¯ï½¸ï½½ï¾ƒï½²ï½½ï¾„ã®ç™’ã•ã‚Œã‚‹ç©ºé–“,Miri,6/19/2014,35.61668,139.66757,"Meguro, Tokyo, Japan",91,10,9,10,10,9,10
3395524,2.02E+13,15397951,House,Private room,Japan,Tokyo,Shinjuku Ku,64,1.09,3,204,1,1,1,1,Real Bed,3547,33.53185857,50,1125,Perfect room for student,Kay,5/11/2014,35.72258,139.69075,"Shinjuku, Tokyo, Japan",93,9,9,10,10,9,9
3395898,2.02E+13,17133875,Apartment,Entire home/apt,Japan,Tokyo,Ota Ku,54,0.78,2,364,1,1,0,1,Real Bed,5052,47.75950085,28,1125,Haneda 30min/La casa 1A,Shizu&Tazu&Mari,6/23/2014,35.56545,139.6924,æ±äº¬,93,9,10,9,9,9,9
3409030,2.02E+13,17190614,House,Private room,Japan,Tokyo,Shinjuku Ku,158,2.2,1,36,3,1.5,1,2,Real Bed,7955,75.20325203,7,120,Bang For Your Buck!,Shu,6/24/2014,35.69639,139.70006,Tokyo,94,10,10,10,10,10,9
3427384,2.02E+13,13018876,Apartment,Entire home/apt,Japan,Tokyo,Edogawa Ku,81,1.16,2,150,3,1.5,1,4,Real Bed,5160,48.7804878,2,90,Tatoo ok! Onsen of 400 years of historyã€ç¦…ã€‘,Masakatsu,3/11/2014,35.68374,139.85971,"Edogawa, Tokyo, Japan",96,10,10,10,10,9,9
3514008,2.02E+13,17694529,Apartment,Entire home/apt,Japan,Tokyo,Arakawa Ku,233,3.51,9,92,2,1,1,2,Real Bed,2480,23.44488561,1,1125,Seidokan .experience the rich history of Japan!,Hisao,7/6/2014,35.72672,139.78201,"Arakawa, Tokyo, Japan",98,10,10,10,10,9,10
3563698,2.02E+13,11583876,Apartment,Entire home/apt,Japan,Tokyo,Machida Shi,91,1.29,1,0,2,1,1,2,Real Bed,3882,36.69880885,5,364,"Feel ""Belong Anywhere"" in Tokyo. 30min to Shinjuku",Ken,1/23/2014,35.5902,139.4799,"Machida, Tokyo, Japan",97,10,10,10,10,10,10
3572139,2.02E+13,15514130,House,Entire home/apt,Japan,Tokyo,Toshima Ku,157,2.69,1,141,6,1,3,6,Real Bed,15802,149.3855171,3,30,Modern Japanese house w/ garden,Tomo,5/14/2014,35.72873,139.7336,"Shibuya, Tokyo, Japan",97,10,9,10,10,10,10
3585992,2.02E+13,17133875,Apartment,Entire home/apt,Japan,Tokyo,Ota Ku,34,0.48,2,364,1,1,0,1,Real Bed,5052,47.75950085,28,1125,Haneda 30min/La casa 1B,Shizu&Tazu&Mari,6/23/2014,35.56798,139.69322,æ±äº¬,95,10,10,10,10,9,9
3606276,2.02E+13,9203725,Apartment,Private room,Japan,Tokyo,Suginami Ku,4,0.1,5,352,5,1,1,4,Real Bed,6450,60.97560976,1,1125,*A*Home WIFI! Tranquil Retreat+LOFT near Shinjuku!,Memz And Taki,10/3/2013,35.67276,139.65976,ã€€,100,10,10,10,10,10,10
3623844,2.02E+13,13018876,Apartment,Entire home/apt,Japan,Tokyo,Edogawa Ku,65,1.03,2,76,3,1.5,1,3,Futon,5160,48.7804878,2,90,Tatoo ok! TOKYOâ™¨ONSEN and ROOMã€å¯¿ã€‘,Masakatsu,3/11/2014,35.68358,139.85985,"Edogawa, Tokyo, Japan",97,10,10,10,10,9,10
3689244,2.02E+13,18776800,Apartment,Entire home/apt,Japan,Tokyo,Shibuya Ku,13,0.19,19,212,7,1,2,3,Real Bed,30960,292.6829268,6,365,"Shibuya, near Harajuku 2BR (MDS2BR)",LiveinAsia,7/24/2014,35.67205,139.67877,"Tokyo, Tokyo, Japan",92,10,9,10,10,9,9
3716040,2.02E+13,5660134,House,Entire home/apt,Japan,Tokyo,Setagaya Ku,31,0.54,1,249,2,1,2,2,Real Bed,7955,75.20325203,2,29,Like a Tokyo Local in Equipped 34ãŽ¡,Kengo,3/28/2013,35.61869,139.66025,"Setagaya, Tokyo, Japan",99,10,10,10,10,9,10
3744742,2.02E+13,19152993,Apartment,Entire home/apt,Japan,Tokyo,Kita Ku,205,3,8,355,5,1,1,5,Real Bed,5375,50.81300813,3,1124,(3) 11mins Shinjuku. 17mins Shibuya. -JR Jujo Sta.,Sei,7/30/2014,35.76105,139.716,Tokyo,86,9,8,10,9,9,8
3775528,2.02E+13,19358663,House,Private room,Japan,Tokyo,Setagaya Ku,83,1.19,1,177,2,1,1,1,Real Bed,7740,73.17073171,1,60,SHIBUYA12min/Fancy&Warm house,Mikako,8/2/2014,35.63059,139.63202,"Chuo City, Tokyo, Japan",100,10,10,10,10,10,10
3793206,2.02E+13,8142772,Apartment,Private room,Japan,Tokyo,Shinjuku Ku,209,2.99,13,209,1,1,1,1,Real Bed,6020,56.91056911,2,30,PRIVATE ROOM  JUST ME ONLY  II 10F with Balcony,Min & Haru,8/13/2013,35.69847,139.70432,JP,98,10,10,10,10,10,10
3793412,2.02E+13,8142772,Apartment,Private room,Japan,Tokyo,Shinjuku Ku,71,1.01,13,270,4,1,1,3,Real Bed,6020,56.91056911,2,30,PRIVATE ROOM FAMILY OR FRIENDS 10F II,Min & Haru,8/13/2013,35.69848,139.70432,JP,97,10,10,10,10,10,10
3814258,2.02E+13,19611972,Apartment,Entire home/apt,Japan,Tokyo,Suginami Ku,149,2.17,3,244,3,1,1,3,Real Bed,8087,76.45112498,2,1125,apartment hotel TASU TOCO,å²©é–“,8/7/2014,35.7034,139.59892,Tokyo,95,10,9,10,10,10,9
3838856,2.02E+13,4626879,House,Entire home/apt,Japan,Tokyo,Shibuya Ku,170,2.45,13,319,8,1.5,3,5,Real Bed,13222,124.9952732,2,1124,SHINJUKU â˜…Designer Pencil Houseâ˜… Sanitized,Sam,1/8/2013,35.68245,139.69009,"Tokyo, Tokyo, Japan",97,10,10,10,10,10,9
3845889,2.02E+13,19089769,Apartment,Entire home/apt,Japan,Tokyo,Suginami Ku,96,1.9,2,91,2,1,1,1,Real Bed,8492,80.27982605,3,1125,COZY LOFT BEDROOM #106,Manami,7/29/2014,35.70559,139.65652,"Suginami, Tokyo, Japan",97,10,10,10,10,10,10
3846001,2.02E+13,19089769,Apartment,Entire home/apt,Japan,Tokyo,Suginami Ku,123,1.78,2,91,2,1,1,2,Futon,8492,80.27982605,3,180,COZY LOFT BEDROOM #1,Manami,7/29/2014,35.70505,139.65675,"Suginami, Tokyo, Japan",98,10,10,10,10,10,10
3871442,2.02E+13,18776800,Apartment,Entire home/apt,Japan,Tokyo,Suginami Ku,36,0.53,19,167,4,1,1,2,Real Bed,13007,122.9627529,6,1125,Nishi-Ogikubo 1BR Twin Type-A (SSH1BRT-A) 2F,LiveinAsia,7/24/2014,35.70399,139.59775,"Tokyo, Tokyo, Japan",97,10,10,10,10,9,9
